brand,model,network_technology,t2G_bands,t3G_bands,t4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price,img_url,N/A
Apple,iPad Pro 12.9,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 11(1500)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 21(1500)| 25(1900)| 26(850)| 27(800)| 28(700)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017  June,Available. Released 2017  June,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),677,Wi-Fi),Nano-SIM/ Electronic SIM card (e-SIM),LED-backlit IPS LCD  capacitive touchscreen  16M colors,12.9 inches (~76.4% screen-to-body ratio),2732 x 2048 pixels (~265 ppi pixel density),iOS 10.3.2,N/A,Apple A10X Fusion,N/A,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| EDR,Yes with A-GPS GLONASS (Wi&#8209;Fi + Cellular model only),NFC,No,3.0| reversible connector; magnetic connector,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Non-removable Li-Ion battery (41 Wh),Space Gray| Gold| Silver,900,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg,N/A
Apple,iPad Pro 10.5,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 11(1500)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 21(1500)| 25(1900)| 26(850)| 27(800)| 28(700)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017  June,Available. Released 2017  June,250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),469,Wi-Fi),Nano-SIM/ Electronic SIM card (e-SIM),LED-backlit IPS LCD  capacitive touchscreen  16M colors,10.5 inches (~78.3% screen-to-body ratio),1668 x 2224 pixels (~265 ppi pixel density),iOS 10.3.2,N/A,Apple A10X Fusion,N/A,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| EDR,Yes with A-GPS GLONASS (Wi&#8209;Fi + Cellular model only),NFC,No,3.0| reversible connector; magnetic connector,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Non-removable Li-Ion battery (30.4 Wh),Space Gray| Rose Gold| Gold| Silver,730,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-105-2017.jpg,N/A
Apple,iPad 9.7,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 29(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017  March,Available. Released 2017  March,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),469,Wi-Fi),Nano-SIM/ Electronic SIM card (e-SIM),LED-backlit IPS LCD  capacitive touchscreen  16M colors,9.7 inches (~71.6% screen-to-body ratio),1536 x 2048 pixels (~264 ppi pixel density),iOS 10.3| upgradable to iOS 10.3.2,Dual-core 1.84 GHz (Twister),Apple A9,PowerVR GT7600 (six-core graphics),No,32/128 GB,2 GB RAM,8 MP| f/2.4| 31mm| autofocus,1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| EDR| LE,Yes with A-GPS GLONASS (Wi&#8209;Fi + Cellular model only),N/A,No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Non-removable Li-Ion 8827 mAh battery (32.9 Wh),Silver| Gold| Space Gray,390,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2017.jpg,N/A
Apple,iPhone 7 Plus,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - A1661| A1784,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1661| A1784,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 27(800)| 28(700)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - A1661| A1784,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  September,Available. Released 2016  September,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),188,6.63,Nano-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,5.5 inches (~67.7% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),iOS 10.0.1| upgradable to iOS 10.3.2,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),Apple A10 Fusion,PowerVR Series7XT Plus (six-core graphics),No,32/128/256 GB,3 GB RAM,Dual 12 MP| (28mm| f/1.8| OIS & 56mm| f/2.8)| phase detection autofocus| 2x optical zoom| quad-LED (dual tone) flash| ,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers,No,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes (Apple Pay only),No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Non-removable Li-Ion 2900 mAh battery (11.1 Wh),Jet Black| Black| Silver| Gold| Rose Gold| Red,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,N/A
Apple,iPhone 7,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - A1660| A1778,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1660| A1778,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 27(800)| 28(700)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - A1660| A1778,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  September,Available. Released 2016  September,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),138,4.87,Nano-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,4.7 inches (~65.6% screen-to-body ratio),750 x 1334 pixels (~326 ppi pixel density),iOS 10.0.1| upgradable to iOS 10.3.2,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),Apple A10 Fusion,PowerVR Series7XT Plus (six-core graphics),No,32/128/256 GB,GB| 2 GB RAM,12 MP| f/1.8| 28mm| phase detection autofocus| OIS| quad-LED (dual tone) flash| ,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers,No,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes (Apple Pay only),No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Non-removable Li-Ion 1960 mAh battery (7.45 Wh),Jet Black| Black| Silver| Gold| Rose Gold| Red,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,N/A
Apple,iPad Pro 9.7,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 27(800)| 28(700)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  March,Available. Released 2016  March,240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in),437,Wi-Fi),Nano-SIM/ Electronic SIM card (e-SIM),LED-backlit IPS LCD  capacitive touchscreen  16M colors,9.7 inches (~71.6% screen-to-body ratio),1536 x 2048 pixels (~264 ppi pixel density),iOS 9.3.2| upgradable to iOS 10.3.2,Dual-core 2.16 GHz (Twister),Apple A9X,PowerVR Series 7 (12-core graphics),No,32/128/256 GB,2 GB RAM,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash,5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| EDR,Yes with A-GPS GLONASS (Wi&#8209;Fi + Cellular model only),NFC,No,2.0| reversible connector; magnetic connector,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Non-removable Li-Ion battery (27.9 Wh),Silver| Gold| Space Gray| Rose Gold,690,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-97.jpg,N/A
Apple,iPhone SE,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - A1662| A1723,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - A1662| A1723,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 29(700) - A1662,HSPA  LTE-A Cat4 150/50 Mbps,Yes,Yes,2016  March,Available. Released 2016  March,123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),113,3.99,Nano-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,4.0 inches (~60.8% screen-to-body ratio),640 x 1136 pixels (~326 ppi pixel density),iOS 9.3.2| upgradable to iOS 10.3.2,Dual-core 1.84 GHz Twister,Apple A9,PowerVR GT7600 (six-core graphics),No,16/32/64/128 GB,2 GB RAM,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash| ,1.2 MP| f/2.4| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes (Apple Pay only),No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Non-removable Li-Po 1624 mAh battery (6.21 Wh),Space Gray| Silver| Gold| Rose Gold,440,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5se-ofic.jpg,N/A
Apple,iPhone 6s Plus,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 29(700)| 30(2300) - A1633,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2015  September,Available. Released 2015  September,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),192,6.77,Nano-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,5.5 inches (~67.7% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),iOS 9| upgradable to iOS 10.3.2,Dual-core 1.84 GHz Twister,Apple A9,PowerVR GT7600 (six-core graphics),No,16/32/64/128 GB,2 GB RAM,12 MP| f/2.2| 29mm| phase detection autofocus| OIS| dual-LED (dual tone) flash| ,5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes (Apple Pay only),No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Non-removable Li-Ion 2750 mAh battery (10.45 Wh),Space Gray| Silver| Gold| Rose Gold,750,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s-plus.jpg,N/A
Apple,iPhone 6s,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 29(700) - A1688,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2015  September,Available. Released 2015  September,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),143,5.04,Nano-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,4.7 inches (~65.6% screen-to-body ratio),750 x 1334 pixels (~326 ppi pixel density),iOS 9| upgradable to iOS 10.3.2,Dual-core 1.84 GHz Twister,Apple A9,PowerVR GT7600 (six-core graphics),No,16/32/64/128 GB,2 GB RAM,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash| ,5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes (Apple Pay only),No,2.0| reversible connector,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Non-removable Li-Ion 1715 mAh battery (6.91 Wh),Space Gray| Silver| Gold| Rose Gold,620,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s1.jpg,N/A
Apple,iPad Pro,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 29(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2015  September,Available. Released 2015  November,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),713,Wi-Fi),Nano-SIM/ Electronic SIM card (e-SIM),LED-backlit IPS LCD  capacitive touchscreen  16M colors,12.9 inches (~77.0% screen-to-body ratio),2048 x 2732 pixels (~264 ppi pixel density),iOS 9| upgradable to iOS 10.3.2,Dual-core 2.26 GHz (Twister),Apple A9X,PowerVR Series 7 (12-core graphics),No,32/128/256 GB,4 GB RAM,8 MP| f/2.4| 31mm| autofocus| ,1.2 MP| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.0| A2DP| EDR,Yes with A-GPS GLONASS (Wi&#8209;Fi + Cellular model only),NFC,No,3.0| reversible connector; magnetic connector,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Non-removable Li-Ion 10|307 mAh battery (38.8 Wh),Space Gray| Silver| Gold,850,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-.jpg,N/A
